dataset,cancer_subtype,joint_cancer_subtype
ProCan_cell_line,primary effusion lymphoma,primary_effusion_lymphoma
ProCan_cell_line,primitive neuroectodermal tumor,primitive_neuroectodermal_tumour
ProCan_cell_line,prostate small cell carcinoma,prostate_small_cell_carcinoma
ProCan_cell_line,pyriform fossa squamous cell carcinoma,head_and_neck_squamous_carcinoma
ProCan_cell_line,rectal adenocarcinoma,colorectal_adenocarcinoma
ProCan_cell_line,renal pelvis and ureter urothelial carcinoma,urothelial_carcinoma_upper_tract
ProCan_cell_line,rhabdoid tumour of the kidney,rhabdoid_tumour
ProCan_cell_line,sacral chordoma,sacral_chordoma
ProCan_cell_line,salivary gland squamous cell carcinoma,head_and_neck_squamous_carcinoma
ProCan_cell_line,skin squamous cell carcinoma,squamous_cell_carcinoma_cutaneous
ProCan_cell_line,splenic marginal zone lymphoma,splenic_marginal_zone_lymphoma
ProCan_cell_line,squamous cell lung carcinoma,lung_squamous_cell_carcinoma
ProCan_cell_line,sv-40 transformed prostatic,prostate_sv40_transformed
ProCan_cell_line,synovial sarcoma,synovial_sarcoma
ProCan_cell_line,testicular embryonal carcinoma,germ_cell_tumour_testis
ProCan_cell_line,thyroid gland anaplastic carcinoma,thyroid_anaplastic_carcinoma
ProCan_cell_line,thyroid gland follicular carcinoma,thyroid_follicular_carcinoma
ProCan_cell_line,thyroid gland papillary carcinoma,thyroid_papillary_carcinoma
ProCan_cell_line,thyroid gland squamous cell carcinoma,thyroid_squamous_cell_carcinoma
ProCan_cell_line,tongue squamous cell carcinoma,head_and_neck_squamous_carcinoma
ProCan_cell_line,tonsillar squamous cell carcinoma,head_and_neck_squamous_carcinoma
ProCan_cell_line,undifferentiated pleomorphic sarcoma,undifferentiated_pleomorphic_sarcoma
ProCan_cell_line,urothelial carcinoma,urothelial_carcinoma_bladder
ProCan_cell_line,uterine corpus leiomyosarcoma,uterine_leiomyosarcoma
ProCan_cell_line,uterine corpus sarcoma,uterine_sarcoma
ProCan_cell_line,vulvar carcinoma,vulvar_carcinoma
ProCan_cell_line,vulvar leiomyosarcoma,vulvar_leiomyosarcoma
ProCan_cell_line,vulvar melanoma,vulvar_melanoma
ProCan_cell_line,vulvar squamous cell carcinoma,vulvar_squamous_cell_carcinoma
